,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tls_header_encrypted
84,1740741123.770875564,85,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,49,,,,,41,,,True,
85,1740741123.772734299,68,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,32,,,,,24,,,True,
86,1740741123.774347951,75,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,39,,,,,31,,,True,
87,1740741123.774426558,75,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,39,,,,,31,,,True,
88,1740741123.794967190,424,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,388,,,,,380,,,True,
89,1740741123.795352935,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
90,1740741123.797495667,738,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,702,,,,,694,,,True,
91,1740741123.797634981,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
92,1740741123.802354216,70,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,34,,,,,26,,,True,
93,1740741123.806292737,407,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,371,,,,,363,,,True,
94,1740741123.806634858,85,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,49,,,,,41,,,True,
95,1740741123.807146777,68,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,32,,,,,24,,,True,
96,1740741123.811314129,75,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,39,,,,,31,,,True,
97,1740741123.811458208,75,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,39,,,,,31,,,True,
98,1740741123.828151900,75,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,39,,,,,31,,,True,
99,1740741123.828280575,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
100,1740741123.874519633,1177,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,1141,,,,,1133,,,True,
101,1740741123.875139266,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
102,1740741123.897922643,1296,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,1260,,,,,1252,0,CRYPTO,False,
103,1740741123.898006952,1296,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,1260,,,,,676,1,CRYPTO,False,
104,1740741123.904757859,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,55,0,ACK,False,
105,1740741123.905479650,71,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,35,,,,,27,,,True,
106,1740741123.905647657,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,56,1,ACK,False,
107,1740741123.908260554,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,1200,2,CRYPTO,False,
108,1740741123.908331364,1296,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,1260,,,,,55,2,ACK,False,
109,1740741123.909674387,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,87,3,CRYPTO,False,
110,1740741123.909674440,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,1200,,,True,
111,1740741123.909674457,1244,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,1208,,,,,1200,,,True,
112,1740741123.909674474,903,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,867,,,,,859,,,True,
113,1740741123.910362902,98,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,62,,,,,54,,,True,
114,1740741123.911588444,193,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,157,,,,,88,,,True,
115,1740741123.911649571,124,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,88,,,,,80,,,True,
116,1740741123.912296021,491,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,455,,,,,447,,,True,
117,1740741123.914245052,580,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,544,,,,,536,,,True,
118,1740741123.914245145,71,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,35,,,,,27,,,True,
119,1740741123.914245162,71,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,35,,,,,27,,,True,
120,1740741123.914245180,96,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,60,,,,,52,,,True,
121,1740741123.914245197,70,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,34,,,,,26,,,True,
122,1740741123.914442857,89,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,53,,,,,45,,,True,
123,1740741123.916051601,71,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,35,,,,,27,,,True,
124,1740741123.917401961,70,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,34,,,,,26,,,True,
125,1740741124.091172481,493,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,457,,,,,,,,,
126,1740741124.093510955,334,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,298,,,,,290,,,True,
127,1740741124.121427516,75,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,39,,,,,,,,,
128,1740741124.121554916,75,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,39,,,,,,,,,
129,1740741124.123278284,75,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,39,,,,,31,,,True,
130,1740741124.123660811,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
131,1740741124.146143629,595,104.22.5.5,192.168.80.128,4,17,128,QUIC,443,36539,559,,,,,551,,,True,
132,1740741124.146529426,87,192.168.80.128,104.22.5.5,4,17,64,QUIC,36539,443,51,,,,,43,,,True,
133,1740741124.152289210,383,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,347,,,,,,,,,
134,1740741124.152677418,80,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,44,,,,,,,,,
135,1740741124.153540356,284,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,248,,,,,240,,,True,
136,1740741124.154044181,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
137,1740741124.154243823,886,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,850,,,,,,,,,
138,1740741124.154315199,80,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,44,,,,,,,,,
139,1740741124.155039333,409,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,373,,,,,365,,,True,
140,1740741124.159866531,70,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,34,,,,,,,,,
141,1740741124.159866574,74,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,38,,,,,30,,,True,
142,1740741124.160013783,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
143,1740741124.185442213,75,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,39,,,,,,,,,
144,1740741124.185685364,75,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,39,,,,,,,,,
145,1740741124.199604919,76,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,0,0,64240,,,,,
146,1740741124.207195248,76,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,0,0,64240,,,,,
147,1740741124.218438148,301,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,265,,,,,257,,,True,
148,1740741124.218876320,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
149,1740741124.226347108,711,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,675,,,,,,,,,
150,1740741124.226598490,80,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,44,,,,,,,,,
151,1740741124.249014660,71,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,35,,,,,27,,,True,
152,1740741124.256316293,71,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,35,,,,,,,,,
153,1740741124.256813630,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,1252,0,CRYPTO,False,
154,1740741124.256901013,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,887,1,CRYPTO,False,
155,1740741124.264349329,87,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,51,,,,,43,1,ACK,False,
156,1740741124.264349425,1296,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,1260,,,,,1252,2,ACK,False,
157,1740741124.275980517,144,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,108,,,,,100,,,True,
158,1740741124.276315794,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,112,2,PING,False,
159,1740741124.283427874,1296,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,1260,,,,,1252,3,ACK,False,
160,1740741124.292980597,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,112,3,PING,False,
161,1740741124.300027241,1296,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,1260,,,,,1252,4,ACK,False,
162,1740741124.307573808,144,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,108,,,,,100,,,True,
163,1740741124.307667701,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,112,4,PING,False,
164,1740741124.313921115,1296,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,1260,,,,,1252,5,ACK,False,
165,1740741124.316926654,1296,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,1260,,,,,1252,6,CRYPTO,False,
166,1740741124.316926732,352,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,316,,,,,243,,,True,
167,1740741124.316926755,661,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,625,,,,,617,,,True,
168,1740741124.316926791,72,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,36,,,,,28,,,True,
169,1740741124.317880821,1296,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,1260,,,,,81,,,True,
170,1740741124.317954510,106,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,70,,,,,62,,,True,
171,1740741124.322443401,167,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,131,,,,,123,,,True,
172,1740741124.323652602,74,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,38,,,,,30,,,True,
173,1740741124.325187133,75,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,39,,,,,31,,,True,
174,1740741124.364858618,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35668,,0,0,1,64240,,,,,
175,1740741124.364894285,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,1,1,64240,,,,,
176,1740741124.365463924,1966,192.168.80.128,216.235.80.67,4,6,64,TLSv1,35668,443,,1910,1,1,64240,,,,,True
177,1740741124.365854970,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35668,,0,1,1461,64240,,,,,
178,1740741124.366005996,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35668,,0,1,1911,64240,,,,,
179,1740741124.370749225,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35680,,0,0,1,64240,,,,,
180,1740741124.370768076,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1,1,64240,,,,,
181,1740741124.371585460,1966,192.168.80.128,216.235.80.67,4,6,64,TLSv1,35680,443,,1910,1,1,64240,,,,,True
182,1740741124.371950822,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35680,,0,1,1461,64240,,,,,
183,1740741124.372024897,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35680,,0,1,1911,64240,,,,,
184,1740741124.378734072,593,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,557,,,,,549,,,True,
185,1740741124.379435272,85,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,49,,,,,41,,,True,
186,1740741124.379739045,68,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,32,,,,,24,,,True,
187,1740741124.384165961,75,216.239.34.181,192.168.80.128,4,17,128,QUIC,443,40765,39,,,,,31,,,True,
188,1740741124.384355612,75,192.168.80.128,216.239.34.181,4,17,64,QUIC,40765,443,39,,,,,31,,,True,
189,1740741124.697793524,4152,216.235.80.67,192.168.80.128,4,6,128,TLSv1.2,443,35668,,4096,1,1911,64240,,,,,True
190,1740741124.697821781,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,1911,4097,65535,,,,,
191,1740741124.702871810,1516,216.235.80.67,192.168.80.128,4,6,128,TLSv1.2,443,35680,,1460,1,1911,64240,,,,,True
192,1740741124.702888544,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1911,1461,65535,,,,,
193,1740741124.703949004,2692,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35680,,2636,1461,1911,64240,,,,,
194,1740741124.703958152,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1911,4097,65535,,,,,
195,1740741124.861650620,1097,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35668,,1041,4097,1911,64240,,,,,True
196,1740741124.861699125,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,1911,5138,65535,,,,,
197,1740741124.867741510,1097,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35680,,1041,4097,1911,64240,,,,,True
198,1740741124.867775578,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1911,5138,65535,,,,,
199,1740741125.000916516,136,192.168.80.128,216.235.80.67,4,6,64,TLSv1.3,35668,443,,80,1911,5138,65535,,,,,True
200,1740741125.001136471,922,192.168.80.128,216.235.80.67,4,6,64,TLSv1.3,35668,443,,866,1991,5138,65535,,,,,True
201,1740741125.001208940,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35668,,0,5138,1991,64240,,,,,
202,1740741125.001380805,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35668,,0,5138,2857,64240,,,,,
203,1740741125.008802637,136,192.168.80.128,216.235.80.67,4,6,64,TLSv1.3,35680,443,,80,1911,5138,65535,,,,,True
204,1740741125.008961959,62,216.235.80.67,192.168.80.128,4,6,128,TCP,443,35680,,0,5138,1991,64240,,,,,
205,1740741125.168932334,295,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35668,,239,5138,2857,64240,,,,,True
206,1740741125.168955444,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,2857,5377,65535,,,,,
207,1740741125.173885338,295,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35680,,239,5138,1991,64240,,,,,True
208,1740741125.173900538,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1991,5377,65535,,,,,
209,1740741125.229911883,409,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,373,,,,,365,,,True,
210,1740741125.259546944,75,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,39,,,,,31,,,True,
211,1740741125.259694297,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
212,1740741125.293410143,350,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,314,,,,,306,,,True,
213,1740741125.293723225,80,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,44,,,,,36,,,True,
214,1740741125.323610796,71,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,35,,,,,27,,,True,
215,1740741125.332906294,295,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35668,,239,5377,2857,64240,,,,,True
216,1740741125.332946264,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,2857,5616,65535,,,,,
217,1740741125.377731769,295,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35680,,239,5377,1991,64240,,,,,True
218,1740741125.377763933,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35680,443,,0,1991,5616,65535,,,,,
219,1740741125.551378081,700,216.235.80.67,192.168.80.128,4,6,128,TLSv1.3,443,35668,,644,5616,2857,64240,,,,,True
220,1740741125.551406542,56,192.168.80.128,216.235.80.67,4,6,64,TCP,35668,443,,0,2857,6260,65535,,,,,
221,1740741125.601517224,76,192.168.80.128,216.235.80.67,4,6,64,TCP,33734,443,,0,0,0,64240,,,,,
222,1740741125.602494370,76,192.168.80.128,216.235.80.67,4,6,64,TCP,33740,443,,0,0,0,64240,,,,,
