,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted
188,1740822965.644854635,1294,192.168.80.128,142.250.75.98,4,17,64,QUIC,59075,443,1258,1250,2,PADDING Length: 202,False,,,,,
189,1740822965.649714781,1287,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1251,1243,,,True,,,,,
190,1740822965.649714824,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
191,1740822965.649714841,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
192,1740822965.649714859,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
193,1740822965.649714876,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
194,1740822965.649802406,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
195,1740822965.649899271,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
196,1740822965.651214758,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
197,1740822965.651214839,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
198,1740822965.651214858,454,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,418,410,,,True,,,,,
199,1740822965.651456953,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
200,1740822965.651532460,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
201,1740822965.651658131,245,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,209,201,,,True,,,,,
202,1740822965.652397255,84,142.250.75.98,192.168.80.128,4,17,128,QUIC,443,59075,48,40,1,ACK,False,,,,,
203,1740822965.653969216,1294,142.250.75.98,192.168.80.128,4,17,128,QUIC,443,59075,1258,1250,2,ACK,False,,,,,
204,1740822965.654134673,76,192.168.80.128,142.250.75.98,4,6,64,TCP,52414,443,,,,,,0,0,0,64240,
205,1740822965.655169943,1294,142.250.75.98,192.168.80.128,4,17,128,QUIC,443,59075,1258,1250,3,CRYPTO,False,,,,,
206,1740822965.655170049,1294,142.250.75.98,192.168.80.128,4,17,128,QUIC,443,59075,1258,1250,4,CRYPTO,False,,,,,
207,1740822965.655371647,1294,192.168.80.128,142.250.75.98,4,17,64,QUIC,59075,443,1258,1250,3,ACK,False,,,,,
208,1740822965.659382784,62,142.250.75.98,192.168.80.128,4,6,128,TCP,443,52414,,,,,,0,0,1,64240,
209,1740822965.659399232,56,192.168.80.128,142.250.75.98,4,6,64,TCP,52414,443,,,,,,0,1,1,64240,
210,1740822965.659632164,1854,192.168.80.128,142.250.75.98,4,6,64,TLSv1,52414,443,,,,,,1798,1,1,64240,True
211,1740822965.659786179,62,142.250.75.98,192.168.80.128,4,6,128,TCP,443,52414,,,,,,0,1,1461,64240,
212,1740822965.660015571,62,142.250.75.98,192.168.80.128,4,6,128,TCP,443,52414,,,,,,0,1,1799,64240,
213,1740822965.660308844,81,192.168.80.128,142.250.75.98,4,17,64,QUIC,59075,443,45,37,,,True,,,,,
214,1740822965.675389236,81,192.168.80.128,142.250.75.98,4,17,64,QUIC,59075,443,45,37,,,True,,,,,
215,1740822965.681446766,74,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,38,30,,,True,,,,,
216,1740822965.684493574,1294,192.168.80.128,142.250.75.131,4,17,64,QUIC,53817,443,1258,1250,1,CRYPTO,False,,,,,
217,1740822965.684580646,1294,192.168.80.128,142.250.75.131,4,17,64,QUIC,53817,443,1258,1250,2,PADDING Length: 3,False,,,,,
218,1740822965.691372533,84,142.250.75.131,192.168.80.128,4,17,128,QUIC,443,53817,48,40,1,ACK,False,,,,,
219,1740822965.693565906,1294,142.250.75.131,192.168.80.128,4,17,128,QUIC,443,53817,1258,1250,2,ACK,False,,,,,
220,1740822965.694669037,1294,142.250.75.131,192.168.80.128,4,17,128,QUIC,443,53817,1258,1250,3,CRYPTO,False,,,,,
221,1740822965.694669198,1294,142.250.75.131,192.168.80.128,4,17,128,QUIC,443,53817,1258,1250,4,CRYPTO,False,,,,,
222,1740822965.694875368,1294,192.168.80.128,142.250.75.131,4,17,64,QUIC,53817,443,1258,1250,3,ACK,False,,,,,
