,timestamp,packet_length,four_tuple
512,1741009005.670711396,56,-1015073839727839601
513,1741009005.670719748,56,871326026032499211
514,1741009005.670728229,56,-6547710617828249210
515,1741009006.182720498,56,1986285571245180232
516,1741009006.183051008,62,8724374140009763045
517,1741009006.694513985,56,-2027246955618409491
518,1741009006.694914814,62,-4665881336756557061
519,1741009006.695720855,56,629385904319613165
520,1741009006.695759913,56,-3869756654193393154
521,1741009006.695901724,62,8124290552325269040
522,1741009006.695901808,62,-7517774247634330297
523,1741009007.206518156,56,9221782347817544211
524,1741009007.206770582,62,-7258626694333291997
525,1741009007.718500538,56,3456601813857043101
526,1741009007.718735405,56,5655809056984420343
527,1741009007.718980734,62,-182465351677396084
528,1741009007.718980889,62,-8747101590224435925
529,1741009008.230928218,56,-8042622744159942004
530,1741009008.231247690,62,6160455432677145928
531,1741009008.742469067,56,8291140993698916876
532,1741009010.791471370,56,-6037779148700651866
533,1741009010.980767028,181,-123035925147107103
534,1741009010.981016685,62,2340247537475360807
535,1741009011.051567341,2184,2340247537475360807
536,1741009011.051596296,56,-123035925147107103
537,1741009011.271645326,189,-123035925147107103
538,1741009011.272024691,62,2340247537475360807
539,1741009011.342951385,2054,2340247537475360807
540,1741009011.342979356,56,-123035925147107103
541,1741009013.862534056,56,-5980049348345477490
542,1741009014.001760484,84,-4995466960183222035
543,1741009014.002120922,62,-7283191511246896462
544,1741009014.060694792,80,-7283191511246896462
545,1741009014.060712544,56,-4995466960183222035
546,1741009015.911461717,56,-856577714284435173
547,1741009016.422605266,56,1986285571245180232
548,1741009016.422799242,62,8724374140009763045
549,1741009016.721899726,183,-123035925147107103
550,1741009016.722168712,62,2340247537475360807
551,1741009016.791656156,2435,2340247537475360807
552,1741009016.791687029,56,-123035925147107103
553,1741009016.934475207,56,629385904319613165
554,1741009016.934546318,56,-3869756654193393154
555,1741009016.934739043,56,-2027246955618409491
556,1741009016.934817216,62,8124290552325269040
557,1741009016.934817412,62,-7517774247634330297
558,1741009016.934889388,62,-4665881336756557061
559,1741009017.076213217,213,5478235340581571641
560,1741009017.076473413,62,-6265249925122769689
561,1741009017.145020226,2976,-6265249925122769689
562,1741009017.145049363,56,5478235340581571641
563,1741009017.145754287,2976,-6265249925122769689
564,1741009017.145766365,56,5478235340581571641
565,1741009017.146899363,2976,-6265249925122769689
566,1741009017.146905805,56,5478235340581571641
567,1741009017.148141173,2976,-6265249925122769689
568,1741009017.148148697,56,5478235340581571641
569,1741009017.149956777,1516,-6265249925122769689
570,1741009017.149974239,56,5478235340581571641
571,1741009017.150480991,1516,-6265249925122769689
572,1741009017.150492254,56,5478235340581571641
573,1741009017.151769121,2976,-6265249925122769689
574,1741009017.151776933,56,5478235340581571641
575,1741009017.153329988,2976,-6265249925122769689
576,1741009017.153344285,56,5478235340581571641
577,1741009017.154755931,2976,-6265249925122769689
578,1741009017.154768317,56,5478235340581571641
579,1741009017.156012155,2976,-6265249925122769689
580,1741009017.156029241,56,5478235340581571641
581,1741009017.157462148,2976,-6265249925122769689
582,1741009017.157474435,56,5478235340581571641
583,1741009017.158743048,2696,-6265249925122769689
584,1741009017.158751966,56,5478235340581571641
585,1741009017.446534213,56,9221782347817544211
586,1741009017.446830576,62,-7258626694333291997
587,1741009017.958545140,56,3456601813857043101
588,1741009017.958658498,56,5655809056984420343
589,1741009017.958693014,62,-182465351677396084
590,1741009017.958919828,62,-8747101590224435925
591,1741009018.002315649,99,-2196570796980494328
592,1741009018.002574830,62,-5415406178571913342
593,1741009018.060653607,96,-5415406178571913342
594,1741009018.060686701,56,-2196570796980494328
595,1741009018.470490420,56,-8042622744159942004
596,1741009018.470787471,62,6160455432677145928
597,1741009021.277282540,224,-123035925147107103
598,1741009021.277680569,62,2340247537475360807
599,1741009021.347698030,1531,2340247537475360807
600,1741009021.347722059,56,-123035925147107103
601,1741009021.864458583,171,-123035925147107103
602,1741009021.865083822,62,2340247537475360807
603,1741009021.935551141,1516,2340247537475360807
604,1741009021.935592569,56,-123035925147107103
605,1741009021.935871252,1516,2340247537475360807
606,1741009021.935882936,56,-123035925147107103
607,1741009021.936280079,2976,2340247537475360807
608,1741009021.936286246,56,-123035925147107103
609,1741009021.939751878,2976,2340247537475360807
610,1741009021.939767841,56,-123035925147107103
611,1741009021.942504097,2976,2340247537475360807
612,1741009021.942518620,56,-123035925147107103
613,1741009021.945153265,2976,2340247537475360807
614,1741009021.945163603,56,-123035925147107103
615,1741009021.948248098,2976,2340247537475360807
616,1741009021.948270542,56,-123035925147107103
617,1741009021.951292533,2976,2340247537475360807
618,1741009021.951307663,56,-123035925147107103
619,1741009021.954475690,2976,2340247537475360807
620,1741009021.954488734,56,-123035925147107103
621,1741009021.957115789,2976,2340247537475360807
622,1741009021.957129680,56,-123035925147107103
623,1741009021.960438704,2976,2340247537475360807
624,1741009021.960460590,56,-123035925147107103
625,1741009021.963370546,2976,2340247537475360807
626,1741009021.963384398,56,-123035925147107103
627,1741009021.966556994,2976,2340247537475360807
628,1741009021.966568869,56,-123035925147107103
629,1741009021.968681159,2976,2340247537475360807
630,1741009021.968691372,56,-123035925147107103
631,1741009021.972495941,2976,2340247537475360807
632,1741009021.972514795,56,-123035925147107103
633,1741009021.975241007,2976,2340247537475360807
634,1741009021.975306414,56,-123035925147107103
635,1741009021.978452557,2976,2340247537475360807
636,1741009021.978473769,56,-123035925147107103
637,1741009021.981415044,2976,2340247537475360807
638,1741009021.981427283,56,-123035925147107103
639,1741009021.984127780,2976,2340247537475360807
640,1741009021.984142846,56,-123035925147107103
641,1741009021.986438881,213,5478235340581571641
642,1741009021.986698492,62,-6265249925122769689
643,1741009021.987061206,215,5478235340581571641
644,1741009021.987289095,62,-6265249925122769689
645,1741009021.987289139,2976,2340247537475360807
646,1741009021.987301833,56,-123035925147107103
647,1741009021.987823971,416,-123035925147107103
648,1741009021.987940492,62,2340247537475360807
649,1741009021.989197806,200,5478235340581571641
650,1741009021.989482843,62,-6265249925122769689
651,1741009021.991724163,2976,2340247537475360807
652,1741009021.991750851,56,-123035925147107103
653,1741009021.992349987,192,5478235340581571641
654,1741009021.992527755,62,-6265249925122769689
655,1741009021.993255528,2976,2340247537475360807
656,1741009021.993262546,56,-123035925147107103
657,1741009021.993945050,187,5478235340581571641
658,1741009021.994109751,62,-6265249925122769689
659,1741009021.995658186,174,5478235340581571641
660,1741009021.995788618,62,-6265249925122769689
661,1741009021.996466943,2976,2340247537475360807
662,1741009021.996474471,56,-123035925147107103
663,1741009021.996686709,238,5478235340581571641
664,1741009021.996788679,62,-6265249925122769689
665,1741009021.996916757,170,5478235340581571641
666,1741009021.997082097,62,-6265249925122769689
667,1741009021.997125455,183,5478235340581571641
668,1741009021.997217073,62,-6265249925122769689
669,1741009022.001647416,91,5478235340581571641
670,1741009022.001750286,91,5478235340581571641
671,1741009022.001805885,62,-6265249925122769689
672,1741009022.001876757,141,5478235340581571641
673,1741009022.001974843,62,-6265249925122769689
674,1741009022.001974956,62,-6265249925122769689
675,1741009022.002058090,91,5478235340581571641
676,1741009022.002115389,91,5478235340581571641
677,1741009022.002159241,62,-6265249925122769689
678,1741009022.002177373,91,5478235340581571641
679,1741009022.002211636,62,-6265249925122769689
680,1741009022.002238966,91,5478235340581571641
681,1741009022.002288657,62,-6265249925122769689
682,1741009022.002339685,62,-6265249925122769689
683,1741009022.005099010,2976,2340247537475360807
684,1741009022.005111070,56,-123035925147107103
685,1741009022.006283935,2976,2340247537475360807
686,1741009022.006293862,56,-123035925147107103
687,1741009022.007498716,91,5478235340581571641
688,1741009022.007675652,62,-6265249925122769689
689,1741009022.009946880,2976,2340247537475360807
690,1741009022.009962032,56,-123035925147107103
691,1741009022.012519190,2976,2340247537475360807
692,1741009022.012534835,56,-123035925147107103
693,1741009022.015861816,2976,2340247537475360807
694,1741009022.015879881,56,-123035925147107103
695,1741009022.017795875,2976,2340247537475360807
696,1741009022.017813704,56,-123035925147107103
697,1741009022.021056885,2976,2340247537475360807
698,1741009022.021071084,56,-123035925147107103
699,1741009022.021451861,288,5478235340581571641
700,1741009022.021584951,201,5478235340581571641
701,1741009022.021636910,62,-6265249925122769689
702,1741009022.021636971,62,-6265249925122769689
703,1741009022.022110703,215,5478235340581571641
704,1741009022.022321968,62,-6265249925122769689
705,1741009022.022424980,205,5478235340581571641
706,1741009022.022609706,62,-6265249925122769689
707,1741009022.023780297,230,5478235340581571641
708,1741009022.024023597,62,-6265249925122769689
709,1741009022.024052061,177,5478235340581571641
710,1741009022.024070848,2976,2340247537475360807
711,1741009022.024081348,56,-123035925147107103
712,1741009022.024292534,62,-6265249925122769689
713,1741009022.025696655,252,5478235340581571641
714,1741009022.026061970,62,-6265249925122769689
715,1741009022.028482615,189,5478235340581571641
716,1741009022.028640320,62,-6265249925122769689
717,1741009022.028691278,195,5478235340581571641
718,1741009022.028904705,62,-6265249925122769689
719,1741009022.029437069,194,5478235340581571641
720,1741009022.029640505,62,-6265249925122769689
721,1741009022.031250728,5896,2340247537475360807
722,1741009022.031259916,56,-123035925147107103
723,1741009022.031417318,184,5478235340581571641
724,1741009022.031516295,62,-6265249925122769689
725,1741009022.031801248,296,5478235340581571641
726,1741009022.031906824,188,5478235340581571641
727,1741009022.032078534,62,-6265249925122769689
728,1741009022.032078582,62,-6265249925122769689
729,1741009022.033042386,2976,2340247537475360807
730,1741009022.033055884,56,-123035925147107103
731,1741009022.033274796,177,5478235340581571641
732,1741009022.033415042,62,-6265249925122769689
733,1741009022.033416707,192,5478235340581571641
734,1741009022.033497841,62,-6265249925122769689
735,1741009022.034602964,187,5478235340581571641
736,1741009022.034755114,62,-6265249925122769689
737,1741009022.035063441,174,5478235340581571641
738,1741009022.035155258,62,-6265249925122769689
739,1741009022.035942410,2976,2340247537475360807
740,1741009022.035951759,56,-123035925147107103
741,1741009022.036147051,238,5478235340581571641
742,1741009022.036277060,62,-6265249925122769689
743,1741009022.039437533,2976,2340247537475360807
744,1741009022.039460828,56,-123035925147107103
745,1741009022.041498810,2976,2340247537475360807
746,1741009022.041520216,56,-123035925147107103
747,1741009022.044708141,2976,2340247537475360807
748,1741009022.044721087,56,-123035925147107103
749,1741009022.046820006,2976,2340247537475360807
750,1741009022.046856293,56,-123035925147107103
751,1741009022.049246036,2976,2340247537475360807
752,1741009022.049275134,56,-123035925147107103
753,1741009022.052349985,2976,2340247537475360807
754,1741009022.052375717,56,-123035925147107103
755,1741009022.052691773,227,5478235340581571641
756,1741009022.052899197,62,-6265249925122769689
757,1741009022.053153791,180,5478235340581571641
758,1741009022.053329789,62,-6265249925122769689
759,1741009022.054423550,2976,-6265249925122769689
760,1741009022.054423612,2976,2340247537475360807
761,1741009022.054433875,56,5478235340581571641
762,1741009022.054468487,56,-123035925147107103
763,1741009022.054480071,231,5478235340581571641
764,1741009022.054534377,62,-6265249925122769689
765,1741009022.054559769,183,5478235340581571641
766,1741009022.054636189,62,-6265249925122769689
767,1741009022.054649922,191,5478235340581571641
768,1741009022.054687916,62,-6265249925122769689
769,1741009022.054757660,168,5478235340581571641
770,1741009022.054829059,62,-6265249925122769689
771,1741009022.055634667,2976,-6265249925122769689
772,1741009022.055642445,56,5478235340581571641
773,1741009022.056782890,1253,-6265249925122769689
774,1741009022.057733470,2976,2340247537475360807
