,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted
198,1740823193.991665293,159,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,103,3659,4250,65535,True,,,,,
199,1740823193.991759704,161,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,105,3762,4250,65535,True,,,,,
200,1740823193.991803795,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3762,64240,,,,,,
201,1740823193.991839227,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3867,64240,,,,,,
202,1740823193.991892726,156,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,100,3867,4250,65535,True,,,,,
203,1740823193.991959993,160,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,104,3967,4250,65535,True,,,,,
204,1740823193.992018594,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3967,64240,,,,,,
205,1740823193.992018620,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,4071,64240,,,,,,
206,1740823193.992085800,166,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,110,4071,4250,65535,True,,,,,
207,1740823193.992159357,164,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,108,4181,4250,65535,True,,,,,
208,1740823193.992205338,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,4181,64240,,,,,,
209,1740823193.992238684,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,4289,64240,,,,,,
210,1740823193.992268778,156,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,100,4289,4250,65535,True,,,,,
211,1740823193.992348760,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,4389,64240,,,,,,
212,1740823193.993385226,260,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,204,74908,3651,64240,True,,,,,
213,1740823193.993479671,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,75112,65535,,,,,,
214,1740823194.028657497,4305,146.75.121.140,192.168.80.128,4,6,128,TLSv1.2,443,52132,4249,1,1906,64240,True,,,,,
