,timestamp,packet_length,four_tuple
8358,1740992187.468857093,62,1290986427405367128
8359,1740992187.468905094,56,4318259406261654568
8360,1740992187.469287869,1961,4318259406261654568
8361,1740992187.469464996,62,1290986427405367128
8362,1740992187.469607305,62,1290986427405367128
8363,1740992187.512327732,1024,1124356007067417078
8364,1740992187.552370522,56,2964697885163824045
8365,1740992187.593012104,4118,-8617121821710749634
8366,1740992187.593046736,56,-3061772637988331940
8367,1740992187.594626250,62,-2487418142089319059
8368,1740992187.601763538,4118,-4094105077437199365
8369,1740992187.601798718,56,1130161357979870457
8370,1740992187.603315516,76,83992098632958487
8371,1740992187.644595539,56,-3699583657654885770
8372,1740992187.647022482,62,-2487418142089319059
8373,1740992187.649757132,120,-3061772637988331940
8374,1740992187.650104685,62,-8617121821710749634
8375,1740992187.650560823,148,-3061772637988331940
8376,1740992187.650671734,62,-8617121821710749634
8377,1740992187.650686467,661,-3061772637988331940
8378,1740992187.650718422,797,-3061772637988331940
8379,1740992187.650854743,62,-8617121821710749634
8380,1740992187.651106696,62,-8617121821710749634
8381,1740992187.652506770,62,6642947841170015373
8382,1740992187.652521296,56,83992098632958487
8383,1740992187.691650239,3551,8342704663429939851
8384,1740992187.691677689,56,2274904381424489218
8385,1740992187.698706488,120,2274904381424489218
8386,1740992187.699011387,62,8342704663429939851
8387,1740992187.699200478,1262,2274904381424489218
8388,1740992187.699376377,62,8342704663429939851
8389,1740992187.710742784,120,1130161357979870457
8390,1740992187.711049684,62,-4094105077437199365
8391,1740992187.711403472,165,1130161357979870457
8392,1740992187.711566587,62,-4094105077437199365
8393,1740992187.748370114,56,-3699583657654885770
8394,1740992187.759405364,2928,1290986427405367128
8395,1740992187.759426912,56,4318259406261654568
8396,1740992187.760637360,1246,1290986427405367128
8397,1740992187.760648924,56,4318259406261654568
8398,1740992187.761832504,120,4318259406261654568
8399,1740992187.762173531,62,1290986427405367128
8400,1740992187.762276986,165,4318259406261654568
8401,1740992187.762486770,62,1290986427405367128
8402,1740992187.763335160,187,-3061772637988331940
8403,1740992187.763468930,62,-8617121821710749634
8404,1740992187.763477922,1246,-3061772637988331940
8405,1740992187.763619158,1749,-3061772637988331940
8406,1740992187.763665511,62,-8617121821710749634
8407,1740992187.763743041,62,-8617121821710749634
8408,1740992187.763743066,62,-8617121821710749634
8409,1740992187.790575864,135,-8617121821710749634
8410,1740992187.790602412,56,-3061772637988331940
8411,1740992187.791672542,225,-8617121821710749634
8412,1740992187.791684860,56,-3061772637988331940
8413,1740992187.791914626,87,-3061772637988331940
8414,1740992187.791995569,62,-8617121821710749634
8415,1740992187.796317113,537,-8617121821710749634
8416,1740992187.835814844,214,8342704663429939851
8417,1740992187.836370868,56,-3061772637988331940
8418,1740992187.850312406,214,-4094105077437199365
8419,1740992187.850335857,56,1130161357979870457
8420,1740992187.850730526,80,1130161357979870457
8421,1740992187.850798221,56,1130161357979870457
8422,1740992187.850867261,62,-4094105077437199365
8423,1740992187.851125748,62,-4094105077437199365
8424,1740992187.876470887,56,2274904381424489218
8425,1740992187.901641788,104,-8617121821710749634
8426,1740992187.901666874,56,-3061772637988331940
8427,1740992187.905520712,214,1290986427405367128
8428,1740992187.905876996,80,4318259406261654568
8429,1740992187.905918472,56,4318259406261654568
8430,1740992187.906012348,62,1290986427405367128
8431,1740992187.906074690,62,1290986427405367128
8432,1740992187.922803317,104,-8617121821710749634
8433,1740992187.922887429,56,-3061772637988331940
8434,1740992187.925145014,536,-8617121821710749634
8435,1740992187.925156546,56,-3061772637988331940
8436,1740992187.972802300,615,8342704663429939851
8437,1740992187.972838268,56,2274904381424489218
8438,1740992187.976763869,245,2274904381424489218
8439,1740992187.977013822,62,8342704663429939851
8440,1740992187.988228312,120,-4094105077437199365
8441,1740992187.988247816,56,1130161357979870457
